Input,Actual Target,Predicted
"Is the following sentence plausible? ""Elias Lindholm beat the buzzer.""",no,yes
"Is the following sentence plausible? ""John Carlson scored in the third period.""",yes,yes
"Is the following sentence plausible? ""Marcelo got on the end of a through ball.""",yes,yes
"Is the following sentence plausible? ""Deshaun Watson was called for the goal tend in the Eastern Conference Finals.""",no,no
"Is the following sentence plausible? ""Mookie Betts skated behind the net.""",no,no
"Is the following sentence plausible? ""John Tavares earned a trip to the penalty box in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""David Silva took a throw in.""",yes,yes
"Is the following sentence plausible? ""Bryce Harper hit the back shoulder fade.""",no,no
"Is the following sentence plausible? ""Carles Puyol did a maradona on the defender.""",yes,yes
"Is the following sentence plausible? ""Robin Lehner launched the desperation heave.""",no,no
"Is the following sentence plausible? ""Carson Wentz took to the ice.""",no,no
"Is the following sentence plausible? ""Kwadwo Asamoah was flagged on the play.""",no,yes
"Is the following sentence plausible? ""Jack Flaherty walked to first base in the National League Championship Series.""",yes,yes
"Is the following sentence plausible? ""Jayson Tatum nutmegged the defender.""",no,yes
"Is the following sentence plausible? ""Dougie Hamilton hit the buzzer beater.""",no,yes
"Is the following sentence plausible? ""Frederik Andersen crossed the blue line in the Stanley Cup.""",yes,yes
"Is the following sentence plausible? ""Freddie Freeman watched the pitch go by.""",yes,no
"Is the following sentence plausible? ""Adam Thielen scored in added time.""",no,yes
"Is the following sentence plausible? ""Tom Brady converted the first down.""",yes,yes
"Is the following sentence plausible? ""Giorgio Chiellini committed a handball in the FA Cup.""",yes,no
"Is the following sentence plausible? ""Tyreek Hill caught the screen pass.""",yes,no
"Is the following sentence plausible? ""Frederik Andersen took a three.""",no,yes
"Is the following sentence plausible? ""Adam Thielen got on base.""",no,yes
"Is the following sentence plausible? ""Gerard Pique scored a corner kick.""",yes,yes
"Is the following sentence plausible? ""Kailer Yamamoto performed a slide tackle in the European Cup.""",no,no
"Is the following sentence plausible? ""Corbin Burnes earned an indirect kick.""",no,yes
"Is the following sentence plausible? ""LaMelo Ball launched the half court shot in the Western Conference Finals.""",yes,no
"Is the following sentence plausible? ""Jonas Valanciunas beat the buzzer.""",yes,no
"Is the following sentence plausible? ""Zach LaVine  shot the puck.""",no,yes
"Is the following sentence plausible? ""Nazem Kadri took a charge in the NBA Championship.""",no,yes
"Is the following sentence plausible? ""Delon Wright went for it on fourth down.""",no,no
"Is the following sentence plausible? ""Malcolm Brogdon banked the shot in.""",yes,yes
"Is the following sentence plausible? ""Michael Conforto comitted a three second violation.""",no,no
"Is the following sentence plausible? ""Jakub Vrana hit a walkoff homer.""",no,yes
"Is the following sentence plausible? ""Tom Wilson scored a penalty kick.""",no,yes
"Is the following sentence plausible? ""Aleksander Barkov passed the puck.""",yes,yes
"Is the following sentence plausible? ""Malik Beasley  comitted a three second violation.""",yes,no
"Is the following sentence plausible? ""Draymond Green threw a touchdown.""",no,yes
"Is the following sentence plausible? ""T.Y. Hilton threw a touchdown in the AFC divisional round.""",yes,yes
"Is the following sentence plausible? ""Robert Woods converted the first down.""",yes,no
"Is the following sentence plausible? ""Julian Edelman fumbled the ball.""",yes,yes
"Is the following sentence plausible? ""Neymar took a backhand shot in the Stanley Cup.""",no,no
